id_bdq,foco_id,lat,lon,data_pas,pais,estado,municipio,bioma
 1607880797 ,d8854b08-d9c9-3db5-adc0-375a8368e65e,  -19.285710 ,  -45.066940 ,2022-10-20 17:02:00,Brasil,MINAS GERAIS,POMPÉU,Cerrado
 1607880798 ,703b5534-65b8-3fc1-9f31-048d0fd93bba,  -19.370360 ,  -48.411350 ,2022-10-20 17:02:00,Brasil,MINAS GERAIS,UBERLÂNDIA,Cerrado
 1607880799 ,5e85cd50-e4b6-35e5-84b3-4362a50ce9bc,  -19.577860 ,  -45.583350 ,2022-10-20 17:02:00,Brasil,MINAS GERAIS,DORES DO INDAIÁ,Cerrado
 1607880800 ,568cdf14-d78a-3a24-a437-a347474a1808,  -19.684920 ,  -46.174820 ,2022-10-20 17:02:00,Brasil,MINAS GERAIS,CAMPOS ALTOS,Cerrado
 1607880801 ,4d12250c-eaa1-340f-92e2-d2706c6f2163,  -19.584330 ,  -45.575580 ,2022-10-20 17:02:00,Brasil,MINAS GERAIS,DORES DO INDAIÁ,Cerrado
 1607880802 ,925eed60-173b-3c1e-8c2e-ff235d4859f7,  -19.585870 ,  -45.585580 ,2022-10-20 17:02:00,Brasil,MINAS GERAIS,DORES DO INDAIÁ,Cerrado
 1607880803 ,0a1fc8f5-d119-3b6d-a78a-e40c9d00b151,  -19.853230 ,  -44.813990 ,2022-10-20 17:02:00,Brasil,MINAS GERAIS,CONCEIÇÃO DO PARÁ,Cerrado
 1607880805 ,19115a5f-507a-3f37-b318-58e330e66820,  -20.782860 ,  -45.631080 ,2022-10-20 17:02:00,Brasil,MINAS GERAIS,CRISTAIS,Cerrado
 1607880806 ,180e78a1-80b7-3b86-bfb8-b1b2c0bb13f2,  -21.039350 ,  -46.431500 ,2022-10-20 17:02:00,Brasil,MINAS GERAIS,BOM JESUS DA PENHA,Mata Atlântica
 1607880807 ,5b3b91e5-982c-3abe-a76f-78e4eb2fee09,  -21.230250 ,  -46.864590 ,2022-10-20 17:02:00,Brasil,MINAS GERAIS,MONTE SANTO DE MINAS,Mata Atlântica
 1607880809 ,c71624c3-457e-3158-bbe5-a4a7a755ed4a,  -22.029950 ,  -46.665700 ,2022-10-20 17:00:00,Brasil,MINAS GERAIS,ANDRADAS,Mata Atlântica
 1607881132 ,e71f2f54-3bde-31ad-b90b-26108b645231,  -18.593620 ,  -46.389230 ,2022-10-20 17:02:00,Brasil,MINAS GERAIS,PATOS DE MINAS,Cerrado
 1607881133 ,a8ddf328-fc09-33c7-be3d-191048595497,  -18.564190 ,  -47.187790 ,2022-10-20 17:02:00,Brasil,MINAS GERAIS,COROMANDEL,Cerrado
 1607881134 ,7e956d76-908a-38e1-8c15-879de7fa94e9,  -18.568200 ,  -45.068700 ,2022-10-20 17:02:00,Brasil,MINAS GERAIS,FELIXLÂNDIA,Cerrado
 1607970832 ,02c5beea-aa4b-3df1-8579-7ac97a15dfa6,  -15.885270 ,  -43.323810 ,2022-10-21 16:07:00,Brasil,MINAS GERAIS,JANAÚBA,Cerrado
 1607970829 ,5f618728-549a-35bd-8561-e5819ffcf41c,  -14.895710 ,  -43.264510 ,2022-10-21 16:07:00,Brasil,MINAS GERAIS,GAMELEIRAS,Caatinga
 1607970834 ,3f3b2844-f0e7-34d4-9aee-f4e44fd29a56,  -15.888900 ,  -43.356850 ,2022-10-21 16:07:00,Brasil,MINAS GERAIS,JANAÚBA,Cerrado
 1607970836 ,47a4991a-7f37-35bc-825e-a5bbd1f48151,  -17.926790 ,  -42.595950 ,2022-10-21 16:07:00,Brasil,MINAS GERAIS,ARICANDUVA,Mata Atlântica
 1607970837 ,9a10f448-e18d-35ce-8fd7-597f1ae2baec,  -17.937270 ,  -42.589860 ,2022-10-21 16:07:00,Brasil,MINAS GERAIS,ARICANDUVA,Mata Atlântica
 1608065498 ,48e1aaca-b8df-347c-852d-d671b345b4fd,  -17.593440 ,  -45.686970 ,2022-10-22 16:50:00,Brasil,MINAS GERAIS,JOÃO PINHEIRO,Cerrado
 1608065502 ,1cde525a-9dba-3fbf-9d27-d338c2fc91b2,  -19.337850 ,  -45.756490 ,2022-10-22 16:50:00,Brasil,MINAS GERAIS,SERRA DA SAUDADE,Cerrado
 1608065507 ,9ec9388d-059c-304d-bb68-843e61599151,  -19.853190 ,  -46.043550 ,2022-10-22 16:50:00,Brasil,MINAS GERAIS,CÓRREGO DANTA,Cerrado
 1608065927 ,52e5df9d-6139-3f40-aa09-864b422db9fd,  -16.185690 ,  -40.553930 ,2022-10-22 16:50:00,Brasil,MINAS GERAIS,ALMENARA,Mata Atlântica
 1608065938 ,396f6399-acad-396d-bf4f-bec6a1ae39ad,  -16.272720 ,  -40.393070 ,2022-10-22 16:50:00,Brasil,MINAS GERAIS,JACINTO,Mata Atlântica
 1608065949 ,aa2ebda9-da3e-337a-b722-de2451e0111c,  -16.381970 ,  -41.004310 ,2022-10-22 16:50:00,Brasil,MINAS GERAIS,JEQUITINHONHA,Mata Atlântica
